Nom de l'entreprise,Adresse,Email entreprise
piximaentic,"Centre d'innovation , Technopole el Ghazala",mohamed.touati@enit.utm.tn
Tagamuta Valley,Smart Tunisian Technoparks,contact@tagamuta-valley.com
Neoxion Technologies,Résidence Ibn Khaldoun BL 1-1 Mourouj 5 Ben Arous Tunisia,contact@neoxiontechnologies.com
Université du Luxembourg,"29, Avenue J.F Kennedy 1855 Luxembourg",hr.fo@uni.lu
Dassault Systèmes,"10, rue Marcel Dassault —78140 VELIZY VILLACOUBLAY CEDEX France",fr.people.admin@3ds.com
Smart It Partner,Chotrana Parc Technologique El Ghazela  Ariana، Ariana 2088، TN,infos@smart-it-partner.com
Ecole de technologie supérieurs (ETS),"1100 R. Notre Dame O, Montréal, QC H3C 1K3, Canada",international@etsmtl.ca
Resorware Digitronik,Av la Liberté Dar Alouch Hammam El Guezaz Nabeul - Tunisia,resorwaredg@gmail.com
Keyrus Group,14 Rue Ahmed Rami Tunis 1002,yahya.mzoughi@keyrus.com
Kidzoolink,"Westerwelle Startup Haus coworking space, 71 Av. Jean jaurès, Tunis",said.mseddi@kidzoolink.com
Entreprise software,"Tunisie, Sfax Route Lafrane ,Mahsouna Bloc C 3eme etage",contact@inel-security.com
Université de Moncton,"8 Av Antonine-Maillet, Moncton, NB E1A 3E9",info@umoncton.ca
APEX conseil,"Centre urbain nord - Immeuble Cleopatre, 1003",amous.apex@gnet.tn
SIRYOS,"5éme étage, Immeuble New Tower, Rue Safia Chamia",contact@siryos.com
LS2N Laboratory,"LS2N - UMR6004, Faculté des Sciences et des Techniques, 2 rue de la Houssinière - Bât. 34,44322 Nantes Cedex 03",Maroua.nouiri@univ-nantes.fr
AYMAX,Immeuble Youssef Towers - Les berges du lac 2,contact-it@aymax.fr
ELYADATA,Rue ile Falika Immeuble HBG les berges du lac 2,contact@elyadata.com
PwC Technology Acceleration Center,"Immeuble The Screen, Cité des Pins, Zone Nord-Est, Les Berges Du Lac de Tunis, 1053 Tunis",fr_acceleration_center_communications_tn@pwc.com
Université du Québec en Abitibi-Témiscamingue,"445 Bd de l'Université, Rouyn-Noranda, QC J9X 5E4, Canada",registraire@uqat.ca
ToCodePro,Immeuble les Jardins Monastir,contact@tocodepro.com
Naxxum,"10, Avenue Erriel, Immeuble Royal Garden Les Berges du Lac 2- Tunis 1053",hkhenissi@naxxum.fr
Cognira,"Immeuble Premium B-04, Rue De L’euro, Les Berges Du Lac 1053 Tunis, Tunisia",careers-tunisia@cognira.com
TÉLUQ University,"455 Rue du Parvis, Québec, QC G1K 9H6, Canada",Wassim.Bouachir@teluq.ca
ACTIA Engineering Services,"1 Rue Newton,BP99 - 2088 ARIANA",contact@actia-engineering.tn
FEATWAY,"TOUR CB 21, 16 PLACE DE L IRIS, 92400 COURBEVOIE",contact@featway.fr
DATAHORIZON,"Résidence Ines, Bloc A, 8éme étage, Boulevard de la terre, Centre urbain nord",RH_TN@datahorizon.eu
DM NOVA,"SoftTech la pépinière, Sousse 4002",hr@dmnova.tech
Royal Military College of Canada,Canada,samar.garrab@rmc.ca
Meddevo,"‍dytab GmbH Zum Fellengarten 19 36166, Haunetal",contact@meddevo.com
Simon Fraser University,"8888 University Dr W, Burnaby, BC V5A 1S6, Canada",sfui@sfu.ca
Envite Consulting GmbH,"Schelmenwasenstr. 37, D-70567 Stuttgart, Germany",office@envite.de
Ticketchainer,Centre urbain nord,sami.bouden@ticketchainer.com
Scheidt & Bachmann Maghreb,"3 Bis Rue de la Teinturerie – Z.I. Sidi Rezig, 2033 Megrine – Ben Arous, Tunisia",Sidhom.Molka@scheidt-bachmann.de
Softifi,"Zarzis, Médenine",hr@softifi.com
Virtual Dev,"Immeuble Rubis ,les bergers du lac 2 ,Tunis",contact@virtualdev.tn
Smartup,"53, Rue des minéraux - La Charguia 1, Tunis, 2035, TN",commercial@smartup.tn
FIS,"Technopole El Gazala Route de Raoued Km 3.5-El Gazala 2088 Ariana - Tunisie-, Raoued, Ariana, 1002 Tunisie",ramla.bejaoui@fisglobal.com
Numeryx MEA,Immeuble loyd 10eme étage bloc 10c centre urbain nord,contact@numeryx.fr
L-mobile,Nabeul,hend.kharez@l-mobile.com
O3 Tools Software,"000, Ariana Center C 408, Ariana 2080",gws.sdridi@gmail.com
générale tunisien de l’informatique (GTI),centre urbain nord,azzouz.rahma@gtiinfo.com.tn
Focus Corporation,"Imm FOCUS, Rue, 1 Lac Malären, Tunis 1053",contact@focus-corporation.com
Dev-IT,Rue Rméda immeuble Yasmine Mahjoub Sousse,contact@dev-itgroup.com
Dedale Solutions,"Rue Lac Malaren , Immeuble Palais du golf bloc C 4eme étage Tunis",contact@minotore.com
Septeo Tunisie,"Septeo TN Lac d'Or, R7WM+875, Tunis",recrutement.septeotn@septeo.fr
