DRAXLMAIER,Rue 14 janvier Zaouiet Sousse,Mohamed.Turki@draexlmaier.com
OAK VISUALS,"Rue abdelatif ajmi, ksibet el mediouni , 5031 , monastir",contact@oak-visuals.com
Piva Software,Road Kaid Mhamed Km 4.5,sales@pivasoftware.com
Dr.Oetker Gias,Zone Industriel  Grombelia,infos@oetker-gias.tn
DRÄXLMAIER,Avenue 14 Janvier 2011 Zaouiet Sousse Sousse، 4081,mailPresse_Tn@draexlmaier.com
Piximind,"Rte Ain Km 1,5 Imm Ihsen, Appartement 401, Sfax , Tunisie 3042, TN",contact@piximind.com
DATAH INTL,Boulevard de la Terre - 1082 CUN Tunis,contact@datahorizon.eu
I-Way,"Centre de Services de Sfax Intelligence Way, Immueble El Khalifa, Avenue de la Liberté,Bloc B,A 201, 3000,Sfax,Tunisie",mohamed.guermazi@iway-tn.com
Tunsié Télecom Gafsa,Rue Farhat Hached 2100 Gafsa - GAFSA,stages@tunisietelecom.tn
ITGUST,"10, rue Khartoum, 2éme étage immeuble Khartoum, 1002-tunis",Contact@itgust-group.com
SAC Consulting,"bureau 7.02, Avenue de combattant suprême Immeuble Ghomrassi 7éme étage, Av. du combattant suprême, Monastir",direction@sac-consulting.com
VERMEG,"Rue de la Perle,Lac2,Tunis",info@vermeg.com
Advyteam Global services,"3 Rue Lac Léman, Immeuble Omrane, 3éme étage, Lac bergers du Lac",RH.tunisie@advyteam.com
Mp Soft (Manager Partner Software),"06, rue Lac Toba 1053 les berges du lac",contact@mpsoft.com
MpSoft (Manager Partner Softwer ),"06, Rue Lac Toba, 1053 Les berges du Lac",contact@mpsoft.com.tn
THIS(Heath Tech Innovation Systems),"Ensi Innovation Hub,campus universitaire de la Manouba",contact@heathtechinnovationsystems.com
la poste tunisienne bureau de poste 3070 kerkennah,Ramla kerkennah,imensouissi@tnPost.tn
Centre Régional des Recherches en Horticulture et Agriculture Biologique,"Route touristique, 4042 Chott Mariem - Sousse",braham.mohamed@gmail.com
THIS,"ENSI Innovation Hub, Campus universitaire de la Manouba,2010, Tunisie",contact@healthtechinnovationsystems.com
Monetics-services-solutions,"Immeuble le 45, Avenue du Japon, Bloc A, Bureau A40 Montplaisir Tunis 1073",Aymen.Moncer@mssolutions-group.com
Altran telnet corporation,Pole technologique el Ghazela,hatem.maalla@capgemini.com
Hayat Technology,"Route Soukra km 3, Sfax, TN",contact@hayat-tech.com
Comelit R&D Tunisie,Pole technopole ghazala,cred@comelit.it
UIB,"26 Rue de l'Egypte, Tunis",uibcontact@uib.com.tn
leetcorp,"Villa Bir Ftouha, Route de Carthage, La marsa 2070",contact@leectorp.com
Tunisie Télécom-direction régionale de Mahdia,Rue kortoba -Mahdia 5150,Contact@tunisietelecom.tn
YaiGlobal,"Pole technologique el Ghazella, Bloc E2, Raoued, BP 112 , Ariana",admin.tunisia@yaiglobal.com
Smart Conseil,"8 rue el Basra, cité el Ghazela, Ariana.",job2@smarte-conseil.fr
Proxym,"Novation City: Technopole de sousse Sousse, 4051",contact@proxym-group.com
ACTIA,"Parc Technologique de sfax, 2ième Etage 3021 Sfax (Tunisie Sfax, 3021",recrutement@actia-engineering.tn
MedicusClinic,"651N St Broad, suite 206 Middletown Delaware, CP19709, USA",laroussibenyounes@gmail.com
WithNet,"33 Rue des Salines, Appartement N°10, 1002 Tunis, Tunisie.",contact@withnet.tn
ESPRIT,el Ghazela,services.stage@esprit.tn
Marabout Technology,"19 Rue de la mécanique, ZI Charguia 1 2035 Tunis Carthage, Tunisia",info@maraboutcorp.com
Dataraise,"Regus - Tunis, Berges du Lac 2, Building ""SLIM"", 2nd Floor, Imm Selim, Rue de l'Euro, Tunis 1053, Tunisie",ftrabelsi@dataraise.com
Capegimini,"Parc Technologique El Ghazala Bloc N°3 Route de Raoued Km 3,5 Ariana, Tunisie, 2088",recrutementtunisie.tn@capgemini.com
ELCO Solutions,"Immeuble B, 5ème étage, AFH/BC5 Centre Urbain Nord 1003 Tunis Tunisia",contact@elco-solutions.de
Droppex,"Cité Taamir, Route Msaken Sousse",allteam@droppex.com
ATS DIGITAL DEV,"Immeuble Zahra, Bloc A, Appart 1, 1er étage • Passage du lac Turkana 1053 • Les Berges du Lac , Tunis, Tunis 1053, Tunisie",recrutement@ats-digital.com
