MEGASOFT,"Immeuble Essarrafa, Moknin, Tunisia",contact@megasoft-online.com
Mosofty,"37 avenue de colmar, 92500 Reuil Malmaison, France",contact@mosofty.com
Innovant Studio,"Technopark Elghazela B11, Ariana, Tunisia",careers@innovant.studio
B2M,7 allée abou al atahia 1082 mutuelleville,Baligh.hamdi@b2m-it.com
Neocortex Technologies,"Lac 2 , Imm Vital Cube",amine@neocortex-consulting.com
Next Gen Solution,Avenu Habib Bourguiba A-1-1  2080 centre d'affaire Carthage Ariana,contact@ngs.tn
Machinestalk,Centre Urbain nord Loyd 9eme etage,mayssa.boubahri@machinestalk.com
Brandee R&D,"Imm LIDO, app N°21 Bizerte 7000, Binzart",acallarec@getbrandee.com
MS Solutions,"A40-A41, Imm le 45 , Avenue du japon , Montplaisir",contact@mssolutions.tn
Go Partner TN,"18, Deuxième étage Boulevard Habib Bourguiba, 2010 Manouba – Tunisie",contact@gopartner.fr
BUSINESS & AI,Megrine Business Center.,contact@business-and-ai.com
Laboratoire de recherche RIADI,"École Nationale des Sciences de l'Informatique (ENSI)  Campus Universitaire de la Manouba, 2010 Manouba, Tunisie",sihem.bensassi@gmail.com
ACCÈS LEADER GROUPE,"VH4W+VHM, Hammam Sousse",tn@accessleader.com
TakiAcademy,"Rue du Maghreb Arabe, khezma-Sousse 4071",contact@takiacademy.com
International Information Developments,"43 Av. Kheireddine Pacha, Montplaisir - Tunis",zbaliha@e-i.com
Orange Tunisie,"Siège social : Immeuble Orange, avenue du Cheikh Mohamed Fadhel Ben Achour, Centre Urbain Nord, 1003 Tunis",moumelli@naxxum.fr
Accent,Pole Technologique de Mannouba,contact@accent.tn
Infraplus,"avenue de medine el mourouj,Ben arous",contact@infraplus.net
Spectrum Groupe,"Zone d’activité Kheireddine. La Goulette, Tunisie",sofien.chaabouni@spectrumgroupe.fr
Meta,"1 Rathbone Square, London",iheb@fb.com
Corilus,"immeuble zahra, rue du lac Turkana, les berges du lac",info.medical@corilus.be
Forvia Informatique Tunisie,"Centre Urbain Nord, Imm Cercle des bureaux, 7ème étage B7, Ariana Ville, Ariana, 2088 Tunisie",afifa.manai@forvia.com
Tunisair,Boulevard Mohamed Bouazizi . Charguia 2035,brc@tunisair.com.tn
Inetum Tunisie,"Immeuble Horizon, Avenue De La Bourse، Tunis 1053",info@inetum.world
Udini,"DeepSmile Lab, Technopôle de Sfax",houda.chaabouni@deepsmile.com
Tunisie Technologies,Sousse Sahloul,contact@tuni-tech.com
Linedata,Centre Urbain Nord 1082 TUNIS,Sinda.Krifa@se.linedata.com
sopra banking,"Immeuble Les Pins Bloc B, Cité les Pins Lotissement Zone VI, Lac 2 1053 Les Berges du lac",contact-corp@soprasteria.com
Lemniscus,"3, Rue du 13 Aout – La Marsa 2078",Sana.ksouri@gmail.com
Axefinance,"Rue lac Huron, Immeuble la couverture, 1053, lac1",Hr@axefinance.com
ZNet-IT,"Route de Tunis km 10 cités El Ons Pépinière d’entreprises Sfax Innovation 3 3021 Sakiet Ezzit . Sfax, Tunisie",contact@znetit.com
MyWeb,Z-I-Chotrana,contact@myweb-dev.site
