Nom de société ,Adresse Téléphone ,Fax E -mail 
35Spring Services &Solutions ,MZL Abderrahmen Bizerte,contact@35-spring.tn
ACTIA ,Technopole el Ghazella rue Newton,nourreddine.benothmen@actia-enginearing.tn
Advanced Derivative Solutions ,"7eme etage ennour building ,Tunis ",molka_ghanmie@aderivative.com
Agence Tunisienne d'internet ,Mutuelle Ville 1002Tunis,com@ati.tn
Al Diagnosis Vision ,"17lathikiya Street ,Nabeul ",info@aidgvision.com
Amazi Smart Solutions ,"centre chalekh Mourouj 4,2emeétageBureau 4",ziedroussi@hotmail.fr
Amzi Smart Solutions ,"centre chalekh Mourouj 4,2emeétageBureau 4",rouiss_zied@gmail.com
Aqua Development LTD ,"368 Olympic Roa ,Songpa Gu ,South Korea 8",obenabbes@aqua-developement.com
Arab Soft ,Rue 8368-Bloc A -Espace el Aziz -Lot Ennassim ,arabsoft@arabsoft.com.tn 
Arab Tunisian Bank ,"Rue Hedi Nouira ,Tunis ",badreddine.dhaaou@atb.com.tn
Association Jeunes Science ,"AV Habib Bourguiba ,ELALIA ",iskanderabsi@gmail.com
Autoprix Cars ,"Rue de la Turquie Imm Moussa ,Sousse ",bensassi.mohamedamine@gmail.com
Axe Finance ,"3émeétageImmeuble La Couverture ,Rue du Lac ",rh@axefinance.com 
B2M ,"Imp .Abou Al Atahia ,Tunis ",info@b2m-it.com
Band Smile ,Les berges du lac Tunis ,rh@basmiletech.com
Banque Internationale Arabe  De Tunisie ,"70-72Av Habib Bourghiba ,TUNIS ",neira.moalla@biat.com.tn 
Banque zitouna Siège ,"2.Boulevard Qualité de la vie ,Kram ",Anis.Berraies@banquezitouna.com 
Bee Coder ,El ghazela Ariana ,rh@beecoder.tn
Belive Technology ,La Marsa ,farouk.karoui@belive.tn
BFI Group ,"Rue du lac Ghar elMelh ,les berges du lac 1053Tunis",dtebai@bfigroupe.com
BH Bank ,18Avenue Mohamed V Tunis,contact@bhbank.tn
BIGAPPS ,112AV du generalde caulle 93110Rosny -sous -Bois ,contact@bigapps.fr
BNS Engineering ,Pole Technologies de la Manouba ,jamel.elkamel@bns.tn
Caprice Travel and Events ,Address Immeuble Horizon Bloc 7Les Berges du Lac ,capricetravelevents@gmail.com
Centre National d'Informatique ,"17,1005Ave Belhassen Ben Chaabane ,Tunis",fshoui@cni.tn
Centre Tunisian d'Arbitrage et  de Méditition ,"El Menzah 7,Tunis ,Tunisie ",administration@arbitrationctam.org
CEOS TECH ,"123Drysdale Rd ,Northwold ,Randburg ,2188,South ",laurentgoulrnok@gmail.com
Compass it for information  technology company ,Hamem Sousse ,hadhamiragoubi@compass-it.net
Computer Soft Services ,1053LES BERGES DU LAC TUNIS ,css@planet.tn
Continous Net ,AV Yasser Arafet Sahloul ,contact@continousnet.com
Cookii mobile ,"Centre Urbain Nord ,1082Tunis ",haifa.taiouri@cookiimobile.com
Creometry Sarl ,"16rue la Plaestine ,1002Tunis ",mg@gcreometry.com
Croco coder ,"A1 ,Immeuble Yasmin Tower ",abderrahmen@crococoder.com
Cyberesa ,"Golden Tower ,Centre Urbain Nord ,Bloc B ,7ème Etage ,Appt7-8 ,Tunis ",rh@cyberesa.net
Cyclone It ,Tunis ,contect@cyclone-it.com
Data Era ,"CLEOPATRE building ,Centre Urbain Nord BR C4-1",contact@data-era.com
Designet Web Agency ,Menzl Tmime ,contact@designet.tn.com
Deumix ,"Centre Urbain Nord ,Immeuble Nour City ",direction@deumix.tn
DIGIBRAIN AGENCY ,"A8-8 immeuble Golden Towers ,Tunis ",contact@digirbainagency.com
Dwaya ,Samrt Tunisian Technoparks Ghazella Ariana ,ibira.neirouz@gmail.com
Educanet ,Rue Yasser Arafet Sahloul Sousse ,hamissa.hamda@gmail.com
El Fouladh ,meanzel bourguiba ,formation@elfouladh.com.tn
Elsm Consulting ,"Immeuble étoiledu nord ,Bureau AB ,Ctre Urbain ",amorsi@epsm.consulting.com
ElyaData ,Rue de l'île Failaka Immeuble HBG holding 2ième étage Les Berges du Lac 2.1053,contact@elyadata.com
Enova Robotics ,"Novation City Technopole de Sousse Sousse ,4051",contact@enovarobotics.com
Ero Tech Conseil ,"65,RUE De kairaoun4013 -MESSA .4013Sousse ",karime@etcinfo.fr
Focus Corporation ,"Focus Building ,ZI 33,Chotrana II 2036Ariana ,Tunisia ",mariem.dahmoun@focus.corporation.com
Global Payement Gateway ,"PARC TECHNOLOGIQUE EL GAZELLA BP59 ,Cebalat ",Queslati@gpgateway.com
Hippo Labs Inc ,"30N Gould St Ste 21106,Sheridan ,WY 82801,USA ",mariia.ceiovic@joinhippo.com
HU Consulting Tunisie ,"R. El Waquidi Et Du Boulevard Charles Nicolles ,Menzah 4,1004Menzah Tunis ",vasser_benneima@gmail.com 
Horizon Data ,"6,Avenue Habib Bourguiba ,Immeuble Saadi ,3ème étage,Tour C -D 1082Menzah 4Tunisie ,",contact@horizon-data.tn
Hoss -Tunisie /Taha Hammami ,Sfax ,contact@hoss.tn
Huawei Tech Investment CO  United ,Rue de la feuille Lac 2,mourad.baghdadi@huawei.com
I Lead Consulting Tunisia ,Centre Urbain Tunis ,salah.mansour@i-lead-consulting.com
llef Info Service ,Place d'évacuation 4100Médnine ,ilef.infoservice@gmail.com
IPSOFT ,"Bloc Nº B ,Immeuble SAFSAF ,Avenue du JAPAN ,Nº ",commercial@ip-soft.tn
ISI Digital ,immeuble cléopatre 7émeétageBureau A7-1 2083,marketing@isi.com.tn
IT Gust ,"Rue De Khartoum ,Tunis ",contact@iteust.group.com
Karriery ,Coworking Espace Digital Lab Manouba .,halimboussada10@gmail.com
